Comment,Designator,Footprint,LCSC
SN74LV1T34DBV,U2,SOT-23-5,C100024
1K,"R1,R14,R16",R_0402_1005Metric,C11702
Conn_01x05,"J22,J24",PinHeader_1x05_P2.54mm_Vertical,C124379
LED 0402 YELLOW,D2,LED_0402_1005Metric,C130719
Conn_01x04_Male,"J1,J12",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,C131334
SCHOTTKY DIODE,D1,D_0603_1608Metric,C143772
Conn_01x04_Male,"J13,J9",BOOM_SH_C145961_1x04_P1.00mm_Vertical,C145961
100n,"C1,C11,C13,C14,C15,C16,C5,C8,C9",C_0402_1005Metric,C1525
10u,"C17,C6,C7",C_0402_1005Metric,C15525
27p,"C3,C4",C_0402_1005Metric,C1557
USB_C_Receptacle,J15,USB_Type_C_C167321,C165948
RP2040,U4,RP2040-QFN-56,C2040
27,"R18,R19",R_0402_1005Metric,C25100
330R,R5,R_0402_1005Metric,C25104
470R,R20,R_0402_1005Metric,C25117
10K,"R15,R2,R3,R4,R8",R_0402_1005Metric,C25744
4K7,"R6,R7",R_0402_1005Metric,C25900
5K1,"R21,R22",R_0402_1005Metric,C25905
SANWA,"J17,J18",JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,C2908603
Conn_01x03,J11,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C2908624
Conn_01x04_Male,"J10,J19",PinHeader_1x04_P2.54mm_Vertical,C2935910
TVS_RCLAMP0524P-N,"U1,U10,U11,U5,U6,U7,U8,U9",UDFN-10_1.35x2.6mm_P0.5mm,C316044
ST01x05,"J5,J6,J7,J8",TerminalBlock_MetzConnect_Type059_RT06305HBWC_1x05_P3.50mm_Horizontal,C3646874
USB_B,J16,USB_B_Lumberg_2411_02_Horizontal,C388656
Conn_01x02,J20,PinHeader_1x02_P2.54mm_Vertical,C492401
Conn_02x10_Odd_Even,J2,PinHeader_2x10_P2.54mm_Vertical,C492427
SW_Push,SW1,SW_SPST_6x6_C499305_C499302,C499305
1u,"C10,C12",C_0402_1005Metric,C52923
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186
Conn_01x02,"J26,J3,J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C722767
Brook 4P Header,J21,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,C722775
W25Q16,FLASH1,SOIC127P790X216-8N,C82317
BSS138,"Q1,Q2",SOT-23,C8545
Crystal_GND24_Small,Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,C9002
Conn_01x02,J14,PinHeader_1x02_P2.54mm_Vertical,
